0.05,0.10,0.85
0.05,0.15,0.80
0.05,0.20,0.75
0.05,0.25,0.70
0.05,0.30,0.65
0.05,0.35,0.60
0.05,0.40,0.55
0.05,0.45,0.50
0.05,0.50,0.45
0.05,0.55,0.40
0.05,0.60,0.35
0.05,0.65,0.30
0.05,0.70,0.25
0.05,0.75,0.20
0.05,0.80,0.15
0.05,0.85,0.10
0.10,0.05,0.85
0.10,0.15,0.75
0.10,0.20,0.70
0.10,0.25,0.65
0.10,0.30,0.60
0.10,0.35,0.55
0.10,0.40,0.50
0.10,0.50,0.40
0.10,0.55,0.35
0.10,0.60,0.30
0.10,0.65,0.25
0.10,0.70,0.20
0.10,0.75,0.15
0.10,0.85,0.05
0.15,0.05,0.80
0.15,0.10,0.75
0.15,0.20,0.65
0.15,0.25,0.60
0.15,0.30,0.55
0.15,0.35,0.50
0.15,0.40,0.45
0.15,0.45,0.40
0.15,0.50,0.35
0.15,0.55,0.30
0.15,0.60,0.25
0.15,0.65,0.20
0.15,0.75,0.10
0.15,0.80,0.05
0.20,0.05,0.75
0.20,0.10,0.70
0.20,0.15,0.65
0.20,0.25,0.55
0.20,0.30,0.50
0.20,0.35,0.45
0.20,0.45,0.35
0.20,0.50,0.30
0.20,0.55,0.25
0.20,0.65,0.15
0.20,0.70,0.10
0.20,0.75,0.05
0.25,0.05,0.70
0.25,0.10,0.65
0.25,0.15,0.60
0.25,0.20,0.55
0.25,0.30,0.45
0.25,0.35,0.40
0.25,0.40,0.35
0.25,0.45,0.30
0.25,0.55,0.20
0.25,0.60,0.15
0.25,0.65,0.10
0.25,0.70,0.05
0.30,0.05,0.65
0.30,0.10,0.60
0.30,0.15,0.55
0.30,0.20,0.50
0.30,0.25,0.45
0.30,0.45,0.25
0.30,0.50,0.20
0.30,0.55,0.15
0.30,0.60,0.10
0.30,0.65,0.05
0.35,0.05,0.60
0.35,0.10,0.55
0.35,0.15,0.50
0.35,0.20,0.45
0.35,0.25,0.40
0.35,0.40,0.25
0.35,0.45,0.20
0.35,0.50,0.15
0.35,0.55,0.10
0.35,0.60,0.05
0.40,0.05,0.55
0.40,0.10,0.50
0.40,0.15,0.45
0.40,0.25,0.35
0.40,0.35,0.25
0.40,0.45,0.15
0.40,0.50,0.10
0.40,0.55,0.05
0.45,0.05,0.50
0.45,0.15,0.40
0.45,0.20,0.35
0.45,0.25,0.30
0.45,0.30,0.25
0.45,0.35,0.20
0.45,0.40,0.15
0.45,0.50,0.05
0.50,0.05,0.45
0.50,0.10,0.40
0.50,0.15,0.35
0.50,0.20,0.30
0.50,0.30,0.20
0.50,0.35,0.15
0.50,0.40,0.10
0.50,0.45,0.05
0.55,0.05,0.40
0.55,0.10,0.35
0.55,0.15,0.30
0.55,0.20,0.25
0.55,0.25,0.20
0.55,0.30,0.15
0.55,0.35,0.10
0.55,0.40,0.05
0.60,0.05,0.35
0.60,0.10,0.30
0.60,0.15,0.25
0.60,0.25,0.15
0.60,0.30,0.10
0.60,0.35,0.05
0.65,0.05,0.30
0.65,0.10,0.25
0.65,0.15,0.20
0.65,0.20,0.15
0.65,0.25,0.10
0.65,0.30,0.05
0.70,0.05,0.25
0.70,0.10,0.20
0.70,0.20,0.10
0.70,0.25,0.05
0.75,0.05,0.20
0.75,0.10,0.15
0.75,0.15,0.10
0.75,0.20,0.05
0.80,0.05,0.15
0.80,0.15,0.05
0.85,0.05,0.10
0.85,0.10,0.05
